indicator_id,notice,start_date,end_date
1.5.2,fall_gdp_after,2018-07-20,2019-09-30
7.3.1,fall_gdp_after,2018-07-20,2019-09-30
8.1.1,fall_gdp_after,2018-07-20,2019-09-30
8.2.1,fall_gdp_after,2018-07-20,2019-09-30
8.4.2,fall_gdp_after,2018-07-20,2019-09-30
8.9.1,june_tourism,2018-07-20,2019-09-30
8.9.2,june_tourism,2018-07-20,2019-09-30
9.2.1,fall_gdp_after,2018-07-20,2019-09-30
9.4.1,fall_gdp_after,2018-07-20,2019-09-30
9.5.1,fall_gdp_after,2018-07-20,2019-09-30
10.4.1,fall_gdp_after,2018-07-20,2019-09-30
11.5.2,fall_gdp_after,2018-07-20,2019-09-30
12.2.2,fall_gdp_after,2018-07-20,2019-09-30
17.1.1,fall_gdp_after,2018-07-20,2019-09-30
17.3.2,fall_gdp_after,2018-07-20,2019-09-30
17.4.1,fall_gdp_after,2018-07-20,2019-09-30
